GO:0004177,Molecular Function,aminopeptidase activity,evm.model.tig082700000016.101
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.309
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.309
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.309
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.310
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000020.312
GO:0004197,Molecular Function,cysteine-type endopeptidase activity,evm.model.tig082700000020.312
GO:0004843,Molecular Function,cysteine-type deubiquitinase activity,evm.model.tig082700000020.312
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000020.312
GO:0008234,Molecular Function,cysteine-type peptidase activity,evm.model.tig082700000020.312
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000020.312
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.312
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.312
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.314
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.317
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.318
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.319
GO:0003723,Molecular Function,RNA binding,evm.model.tig082700000020.320
GO:0003725,Molecular Function,double-stranded RNA binding,evm.model.tig082700000020.320
GO:0003726,Molecular Function,double-stranded RNA adenosine deaminase activity,evm.model.tig082700000020.320
GO:0004000,Molecular Function,adenosine deaminase activity,evm.model.tig082700000020.320
GO:0008251,Molecular Function,tRNA-specific adenosine deaminase activity,evm.model.tig082700000020.320
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000020.322
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.322
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000020.322
GO:0004712,Molecular Function,protein serine/threonine/tyrosine kinase activity,evm.model.tig082700000020.322
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.322
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.322
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000020.322
GO:0106310,Molecular Function,protein serine kinase activity,evm.model.tig082700000020.322
GO:0003995,Molecular Function,acyl-CoA dehydrogenase activity,evm.model.tig082700000020.323
GO:0016627,Molecular Function,"oxidoreductase activity, acting on the CH-CH group of donors",evm.model.tig082700000020.323
GO:0020037,Molecular Function,heme binding,evm.model.tig082700000020.323
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.323
GO:0050660,Molecular Function,flavin adenine dinucleotide binding,evm.model.tig082700000020.323
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.324
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.324
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.324
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000020.325
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.325
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000020.326
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000020.326
GO:0003724,Molecular Function,RNA helicase activity,evm.model.tig082700000020.326
GO:0004386,Molecular Function,helicase activity,evm.model.tig082700000020.326
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.326
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.326
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000020.326
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000020.328
GO:0004519,Molecular Function,endonuclease activity,evm.model.tig082700000020.328
GO:0004527,Molecular Function,exonuclease activity,evm.model.tig082700000020.328
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000020.328
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000020.33
GO:0003677,Molecular Function,DNA binding,evm.model.tig082700000020.33
GO:0003723,Molecular Function,RNA binding,evm.model.tig082700000020.33
GO:0003887,Molecular Function,DNA-directed DNA polymerase activity,evm.model.tig082700000020.33
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000020.33
GO:0016779,Molecular Function,nucleotidyltransferase activity,evm.model.tig082700000020.33
GO:0034061,Molecular Function,DNA polymerase activity,evm.model.tig082700000020.33
GO:0019888,Molecular Function,protein phosphatase regulator activity,evm.model.tig082700000020.331
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000020.332
GO:0061980,Molecular Function,regulatory RNA binding,evm.model.tig082700000020.332
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.335
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.337
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.337
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.337
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.337
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.338
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.339
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000020.34
GO:0003677,Molecular Function,DNA binding,evm.model.tig082700000020.34
GO:0003887,Molecular Function,DNA-directed DNA polymerase activity,evm.model.tig082700000020.34
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000020.34
GO:0016779,Molecular Function,nucleotidyltransferase activity,evm.model.tig082700000020.34
GO:0016829,Molecular Function,lyase activity,evm.model.tig082700000020.34
GO:0034061,Molecular Function,DNA polymerase activity,evm.model.tig082700000020.34
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.34
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000020.340
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.340
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000020.340
GO:0004709,Molecular Function,MAP kinase kinase kinase activity,evm.model.tig082700000020.340
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.340
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.340
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000020.340
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.341
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.342
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.343
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.344
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.345
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.346
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.346
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.346
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000020.346
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.347
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.347
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.347
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.348
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.349
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.350
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.350
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.350
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.352
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.352
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.352
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.352
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.355
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.355
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.355
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.355
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.356
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.357
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.358
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.360
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.365
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.366
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.367
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.367
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.367
GO:0004252,Molecular Function,serine-type endopeptidase activity,evm.model.tig082700000020.368
GO:0004503,Molecular Function,tyrosinase activity,evm.model.tig082700000020.368
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000020.368
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000020.368
GO:0008236,Molecular Function,serine-type peptidase activity,evm.model.tig082700000020.368
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000020.368
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.368
GO:0090729,Molecular Function,toxin activity,evm.model.tig082700000020.368
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.369
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.370
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.370
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.370
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.370
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.371
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.373
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.374
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.376
GO:0004222,Molecular Function,metalloendopeptidase activity,evm.model.tig082700000020.377
GO:0004252,Molecular Function,serine-type endopeptidase activity,evm.model.tig082700000020.377
GO:0004503,Molecular Function,tyrosinase activity,evm.model.tig082700000020.377
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.377
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000020.377
GO:0008236,Molecular Function,serine-type peptidase activity,evm.model.tig082700000020.377
GO:0008237,Molecular Function,metallopeptidase activity,evm.model.tig082700000020.377
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000020.377
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000020.377
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.377
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.377
GO:0004252,Molecular Function,serine-type endopeptidase activity,evm.model.tig082700000020.378
GO:0004503,Molecular Function,tyrosinase activity,evm.model.tig082700000020.378
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000020.378
GO:0008236,Molecular Function,serine-type peptidase activity,evm.model.tig082700000020.378
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000020.378
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.378
GO:0004553,Molecular Function,"hydrolase activity, hydrolyzing O-glycosyl compounds",evm.model.tig082700000020.379
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.379
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000020.379
GO:0008061,Molecular Function,chitin binding,evm.model.tig082700000020.379
GO:0016757,Molecular Function,glycosyltransferase activity,evm.model.tig082700000020.379
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.379
GO:0016798,Molecular Function,"hydrolase activity, acting on glycosyl bonds",evm.model.tig082700000020.379
GO:0004222,Molecular Function,metalloendopeptidase activity,evm.model.tig082700000020.38
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000020.38
GO:0016163,Molecular Function,nitrogenase activity,evm.model.tig082700000020.38
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.38
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000020.38
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.38
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000020.380
GO:0003964,Molecular Function,RNA-directed DNA polymerase activity,evm.model.tig082700000020.380
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.383
GO:0004222,Molecular Function,metalloendopeptidase activity,evm.model.tig082700000020.384
GO:0004252,Molecular Function,serine-type endopeptidase activity,evm.model.tig082700000020.384
GO:0004503,Molecular Function,tyrosinase activity,evm.model.tig082700000020.384
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000020.384
GO:0008236,Molecular Function,serine-type peptidase activity,evm.model.tig082700000020.384
GO:0008237,Molecular Function,metallopeptidase activity,evm.model.tig082700000020.384
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000020.384
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000020.384
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.384
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.384
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.386
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.387
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.387
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.387
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.387
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.388
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000020.389
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.39
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.39
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.39
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000020.391
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.392
GO:0004252,Molecular Function,serine-type endopeptidase activity,evm.model.tig082700000020.393
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000020.393
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000020.393
GO:0008236,Molecular Function,serine-type peptidase activity,evm.model.tig082700000020.393
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.393
GO:0003924,Molecular Function,GTPase activity,evm.model.tig082700000020.394
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000020.394
GO:0005525,Molecular Function,GTP binding,evm.model.tig082700000020.394
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000020.396
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000020.397
GO:0022857,Molecular Function,transmembrane transporter activity,evm.model.tig082700000020.399
GO:0017128,Molecular Function,phospholipid scramblase activity,evm.model.tig082700000020.4
GO:0016163,Molecular Function,nitrogenase activity,evm.model.tig082700000020.40
GO:0022857,Molecular Function,transmembrane transporter activity,evm.model.tig082700000020.400
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000020.402
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.402
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.402
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.402
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000020.402
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000020.403
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.403
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.403
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.403
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.404
GO:0004503,Molecular Function,tyrosinase activity,evm.model.tig082700000020.405
GO:0004553,Molecular Function,"hydrolase activity, hydrolyzing O-glycosyl compounds",evm.model.tig082700000020.405
GO:0004601,Molecular Function,peroxidase activity,evm.model.tig082700000020.405
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000020.405
GO:0008061,Molecular Function,chitin binding,evm.model.tig082700000020.405
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000020.405
GO:0016757,Molecular Function,glycosyltransferase activity,evm.model.tig082700000020.405
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.405
GO:0016798,Molecular Function,"hydrolase activity, acting on glycosyl bonds",evm.model.tig082700000020.405
GO:0020037,Molecular Function,heme binding,evm.model.tig082700000020.405
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.406
GO:0004252,Molecular Function,serine-type endopeptidase activity,evm.model.tig082700000020.408
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000020.408
GO:0008233,Molecular Function,peptidase activity,evm.model.tig082700000020.408
GO:0008236,Molecular Function,serine-type peptidase activity,evm.model.tig082700000020.408
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.408
GO:0090729,Molecular Function,toxin activity,evm.model.tig082700000020.408
GO:0019825,Molecular Function,oxygen binding,evm.model.tig082700000020.410
GO:0020037,Molecular Function,heme binding,evm.model.tig082700000020.410
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000020.412
GO:0016213,Molecular Function,linoleoyl-CoA desaturase activity,evm.model.tig082700000020.412
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000020.412
GO:0016717,Molecular Function,"oxidoreductase activity, acting on paired donors, with oxidation of a pair of donors resulting in the reduction of molecular oxygen to two molecules of water",evm.model.tig082700000020.412
GO:0020037,Molecular Function,heme binding,evm.model.tig082700000020.412
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.412
GO:0016163,Molecular Function,nitrogenase activity,evm.model.tig082700000020.42
GO:0000049,Molecular Function,tRNA binding,evm.model.tig082700000020.422
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000020.422
GO:0003743,Molecular Function,translation initiation factor activity,evm.model.tig082700000020.422
GO:0003924,Molecular Function,GTPase activity,evm.model.tig082700000020.422
GO:0004252,Molecular Function,serine-type endopeptidase activity,evm.model.tig082700000020.422
GO:0005525,Molecular Function,GTP binding,evm.model.tig082700000020.422
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.422
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000020.423
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000020.423
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.423
GO:0061630,Molecular Function,ubiquitin protein ligase activity,evm.model.tig082700000020.423
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.430
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.430
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.430
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.435
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.435
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.435
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.436
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.436
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.436
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.437
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.437
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.437
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.44
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.440
GO:0003676,Molecular Function,nucleic acid binding,evm.model.tig082700000020.443
GO:0005216,Molecular Function,ion channel activity,evm.model.tig082700000020.443
GO:0005249,Molecular Function,voltage-gated potassium channel activity,evm.model.tig082700000020.443
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000020.443
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000020.445
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.445
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000020.445
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000020.445
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.445
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000020.445
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000020.445
GO:0030246,Molecular Function,carbohydrate binding,evm.model.tig082700000020.445
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000020.446
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.446
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000020.446
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000020.446
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.446
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000020.446
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000020.446
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000020.448
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.448
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000020.448
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000020.448
GO:0016163,Molecular Function,nitrogenase activity,evm.model.tig082700000020.448
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.448
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000020.448
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000020.448
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.45
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.45
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.45
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.45
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.453
GO:0015075,Molecular Function,ion transmembrane transporter activity,evm.model.tig082700000020.454
GO:0022857,Molecular Function,transmembrane transporter activity,evm.model.tig082700000020.454
GO:0016829,Molecular Function,lyase activity,evm.model.tig082700000020.457
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000020.458
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.458
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000020.458
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.458
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.458
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000020.458
GO:0004650,Molecular Function,polygalacturonase activity,evm.model.tig082700000020.459
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.459
GO:0016798,Molecular Function,"hydrolase activity, acting on glycosyl bonds",evm.model.tig082700000020.459
GO:0016829,Molecular Function,lyase activity,evm.model.tig082700000020.459
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000020.46
GO:0016163,Molecular Function,nitrogenase activity,evm.model.tig082700000020.46
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000020.463
GO:0004793,Molecular Function,threonine aldolase activity,evm.model.tig082700000020.463
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000020.463
GO:0016829,Molecular Function,lyase activity,evm.model.tig082700000020.463
GO:0003824,Molecular Function,catalytic activity,evm.model.tig082700000020.464
GO:0004793,Molecular Function,threonine aldolase activity,evm.model.tig082700000020.464
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000020.464
GO:0016829,Molecular Function,lyase activity,evm.model.tig082700000020.464
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000020.468
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.468
GO:0004674,Molecular Function,protein serine/threonine kinase activity,evm.model.tig082700000020.468
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.468
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.468
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.47
GO:0016163,Molecular Function,nitrogenase activity,evm.model.tig082700000020.47
GO:0008106,Molecular Function,alcohol dehydrogenase (NADP+) activity,evm.model.tig082700000020.470
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000020.470
GO:0016491,Molecular Function,oxidoreductase activity,evm.model.tig082700000020.470
GO:0016616,Molecular Function,"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor",evm.model.tig082700000020.470
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.470
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000020.471
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.471
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000020.472
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.472
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.473
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.473
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.473
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000020.475
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.475
GO:0004672,Molecular Function,protein kinase activity,evm.model.tig082700000020.477
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.477
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.477
GO:0000149,Molecular Function,SNARE binding,evm.model.tig082700000020.478
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000020.478
GO:0008474,Molecular Function,palmitoyl-(protein) hydrolase activity,evm.model.tig082700000020.479
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.479
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.48
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000020.480
GO:0004340,Molecular Function,glucokinase activity,evm.model.tig082700000020.480
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.480
GO:0005536,Molecular Function,glucose binding,evm.model.tig082700000020.480
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.480
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000020.480
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000020.481
GO:0004340,Molecular Function,glucokinase activity,evm.model.tig082700000020.481
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.481
GO:0005536,Molecular Function,glucose binding,evm.model.tig082700000020.481
GO:0016301,Molecular Function,kinase activity,evm.model.tig082700000020.481
GO:0016740,Molecular Function,transferase activity,evm.model.tig082700000020.481
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000020.482
GO:0005044,Molecular Function,scavenger receptor activity,evm.model.tig082700000020.482
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.482
GO:0008017,Molecular Function,microtubule binding,evm.model.tig082700000020.482
GO:0008568,Molecular Function,microtubule-severing ATPase activity,evm.model.tig082700000020.482
GO:0016787,Molecular Function,hydrolase activity,evm.model.tig082700000020.482
GO:0016853,Molecular Function,isomerase activity,evm.model.tig082700000020.482
GO:0016887,Molecular Function,ATP hydrolysis activity,evm.model.tig082700000020.482
GO:0003779,Molecular Function,actin binding,evm.model.tig082700000020.483
GO:0005509,Molecular Function,calcium ion binding,evm.model.tig082700000020.483
GO:0046872,Molecular Function,metal ion binding,evm.model.tig082700000020.483
GO:0051015,Molecular Function,actin filament binding,evm.model.tig082700000020.483
GO:0000166,Molecular Function,nucleotide binding,evm.model.tig082700000020.484
GO:0004721,Molecular Function,phosphoprotein phosphatase activity,evm.model.tig082700000020.484
GO:0004839,Molecular Function,ubiquitin activating enzyme activity,evm.model.tig082700000020.484
GO:0005524,Molecular Function,ATP binding,evm.model.tig082700000020.484
GO:0008270,Molecular Function,zinc ion binding,evm.model.tig082700000020.484
